136, 5, 25, 33, 8, 2
159, 6, 28, 51, 16, 3
222, 3, 44, 79, 20, 8
111, 5, 27, 28, 7, 0
204, 4, 43, 41, 20, 14
163, 5, 35, 36, 13, 6
213, 5, 57, 40, 16, 16
164, 6, 35, 41, 12, 7
211, -3, 52, 46, 16, 14
163, 1, 43, 31, 11, 8
123, 7, 24, 21, 14, 5
182, 5, 31, 48, 16, 11
127, 6, 27, 27, 9, 5
131, 6, 26, 33, 9, 3
206, 6, 40, 52, 20, 14
174, 1, 32, 52, 11, 5
182, 3, 36, 37, 13, 10
185, -1, 32, 71, 15, 9
202, 2, 38, 44, 18, 14
147, 4, 33, 25, 11, 8
181, 6, 46, 42, 16, 12
159, 4, 31, 27, 11, 7
167, 4, 38, 34, 13, 8
182, 5, 44, 38, 14, 12
164, 5, 33, 54, 12, 4
149, 5, 32, 43, 8, 4
203, -2, 38, 59, 11, 9
212, 3, 40, 46, 14, 13
146, 5, 29, 32, 12, 4
232, 2, 44, 51, 20, 17
139, 6, 34, 22, 13, 6
134, 7, 30, 27, 16, 6
216, 3, 45, 44, 16, 13
184, 2, 28, 70, 13, 4
187, -4, 47, 33, 14, 18
175, 5, 37, 51, 16, 10
156, 5, 41, 31, 13, 13
242, -1, 51, 63, 17, 12
136, 6, 30, 27, 11, 5
267, 3, 56, 50, 24, 18
194, 5, 45, 35, 13, 8
155, -1, 35, 49, 8, 4
195, 5, 44, 42, 19, 16
209, 2, 47, 50, 19, 11
163, 5, 41, 36, 13, 6
210, 4, 39, 58, 23, 14
146, 3, 32, 35, 8, 2
145, 5, 37, 29, 10, 7
184, 1, 37, 59, 10, 7
128, 7, 33, 24, 12, 5
174, 1, 36, 54, 11, 7
179, 1, 30, 55, 12, 4
179, 3, 34, 37, 14, 6
253, -1, 52, 63, 18, 13
198, 5, 38, 64, 17, 12
170, 1, 40, 45, 9, 5
169, 2, 33, 43, 13, 3
120, 5, 27, 31, 9, 2
133, 5, 27, 34, 12, 3
164, 1, 39, 50, 8, 5
161, 5, 39, 27, 12, 9
140, 5, 30, 36, 11, 3
178, 1, 38, 40, 8, 8
167, 5, 37, 30, 15, 13
171, -1, 39, 33, 11, 10
195, 1, 52, 32, 11, 11
187, 2, 35, 53, 14, 7
187, 1, 42, 40, 14, 10
212, 7, 38, 62, 25, 14
226, 2, 60, 50, 17, 16
229, 5, 54, 56, 23, 15
123, 7, 25, 23, 7, 3
195, 5, 44, 64, 17, 8
132, 3, 20, 42, 11, 1
138, 5, 28, 49, 10, 2
113, 7, 28, 19, 9, 2
175, 4, 48, 49, 11, 6
146, 1, 38, 37, 7, 5
177, 3, 47, 38, 10, 6
158, 7, 31, 48, 10, 4
174, 7, 36, 40, 19, 6
185, 4, 36, 38, 14, 7
179, 2, 40, 41, 11, 8
187, 1, 41, 40, 11, 11
135, 3, 28, 21, 7, 8
201, 1, 45, 52, 13, 10
126, 5, 29, 31, 7, 1
161, 3, 28, 32, 16, 7
207, -1, 45, 55, 11, 8
175, 5, 41, 42, 11, 8
172, -1, 33, 42, 11, 7
152, 3, 29, 42, 9, 3
226, -1, 59, 61, 10, 10
159, 2, 34, 37, 11, 5
149, 6, 33, 37, 13, 6
211, -1, 40, 88, 16, 7
143, 5, 24, 42, 12, 5
189, -1, 31, 59, 16, 9
123, 6, 23, 29, 10, 4
237, 3, 46, 59, 19, 12
